nohup: ignoring input

   INFO  Server running on [http://0.0.0.0:9090].  

  Press Ctrl+C to stop the server
  2026-08-13 09:46:17 /storage/social-accounts/0d12d54f-606a-458c-97d8-796dd4b70014.jpg  ~ 0.41ms
  2026-08-13 09:46:17 /storage/social-accounts/15714988-d5bd-4693-8769-e4b97f2e9e0b.jpg  ~ 0.46ms
  2026-08-13 09:46:17 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737/edit  ~ 0.30ms
  2026-08-13 09:46:17 /build/assets/app-D6m_3w8G.js ................ ~ 0.59ms
  2026-08-13 09:46:17 /build/assets/app-D6m_3w8G.js ................ ~ 0.03ms
  2026-08-13 09:46:17 /build/assets/app-D6m_3w8G.js ................ ~ 0.11ms
  2026-08-13 09:46:17 /assets/search ............................... ~ 0.05ms
  2026-08-13 09:46:17 /assets/unsplash/trending .................... ~ 0.32ms
  2026-08-13 09:46:17 /assets/giphy/trending ..................... ~ 500.75ms
  2026-08-13 09:46:17 /storage/medias/661a5b1b-6e93-4ef3-b74c-d299fb1eb411.mp4  ~ 500.83ms
  2026-08-13 09:46:19 /storage/medias/661a5b1b-6e93-4ef3-b74c-d299fb1eb411.mp4  ~ 0.13ms
  2026-08-13 09:46:25 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737  ~ 500.47ms
  2026-08-13 09:46:25 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737/edit  ~ 0.04ms
  2026-08-13 09:46:25 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737/edit  ~ 0.03ms
  2026-08-13 09:46:25 /build/assets/app-D6m_3w8G.js ................ ~ 0.03ms
  2026-08-13 09:46:25 /build/assets/app-D6m_3w8G.js ................ ~ 0.07ms
  2026-08-13 09:46:30 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737  ~ 500.62ms
  2026-08-13 09:46:30 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737/edit  ~ 0.03ms
  2026-08-13 09:46:31 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737/edit  ~ 0.03ms
  2026-08-13 09:46:31 /build/assets/app-D6m_3w8G.js ................ ~ 0.03ms
  2026-08-13 09:46:31 /build/assets/app-D6m_3w8G.js ................ ~ 0.04ms
  2026-08-13 09:46:35 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737 .. ~ 0.16ms
  2026-08-13 09:46:35 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737/edit  ~ 0.14ms
  2026-08-13 09:46:36 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737/edit  ~ 0.04ms
  2026-08-13 09:46:36 /build/assets/app-D6m_3w8G.js ................ ~ 0.12ms
  2026-08-13 09:46:36 /build/assets/app-D6m_3w8G.js ................ ~ 0.03ms
  2026-08-13 09:46:40 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737 .. ~ 0.12ms
  2026-08-13 09:46:40 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737/edit  ~ 500.48ms
  2026-08-13 09:46:40 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737 .. ~ 0.05ms
  2026-08-13 09:46:41 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737 .. ~ 0.05ms
  2026-08-13 09:46:41 /build/assets/Show-CRTmyzDT.js ............... ~ 0.10ms
  2026-08-13 09:46:41 /build/assets/card-DCVVMaiD.js ............... ~ 0.47ms
  2026-08-13 09:46:41 /build/assets/usePostStatus-CFFFFHlm.js ...... ~ 0.82ms
  2026-08-13 09:46:41 /notifications ............................... ~ 0.05ms
  2026-08-13 09:46:41 /presence/heartbeat ........................ ~ 500.47ms
  2026-08-13 09:46:41 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737  ~ 500.82ms
  2026-08-13 09:46:41 /build/assets/app-D6m_3w8G.js ................ ~ 0.19ms
  2026-08-13 09:46:41 /build/assets/app-D6m_3w8G.js ................ ~ 0.04ms
  2026-08-13 09:46:43 /storage/medias/661a5b1b-6e93-4ef3-b74c-d299fb1eb411.mp4  ~ 500.46ms
  2026-08-13 09:46:53 /posts/019ffa38-b221-716e-9c12-04681b451de2 .. ~ 0.13ms
  2026-08-13 09:47:01 /notifications ............................... ~ 0.14ms
  2026-08-13 09:47:04 /notifications/019ffa84-5a73-7349-b8a4-31803e83e7ea/read  ~ 0.12ms
  2026-08-13 09:47:04 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737/edit  ~ 500.59ms
  2026-08-13 09:47:04 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737 .. ~ 0.04ms
  2026-08-13 09:47:04 /notifications ............................... ~ 0.04ms
  2026-08-13 09:47:04 /presence/heartbeat .......................... ~ 0.04ms
  2026-08-13 09:47:04 /storage/social-accounts/01d3d468-3176-4f39-9ebb-8aec23a000af.jpg  ~ 0.64ms
  2026-08-13 09:47:04 /images/accounts/tiktok.png .................. ~ 0.41ms
  2026-08-13 09:47:04 /posts/019ffa83-e4b5-7169-8387-eb2449b4d737  ~ 500.76ms
  2026-08-13 09:47:04 /build/assets/app-D6m_3w8G.js .............. ~ 501.11ms
  2026-08-13 09:47:04 /storage/medias/661a5b1b-6e93-4ef3-b74c-d299fb1eb411.mp4  ~ 500.93ms
  2026-08-13 09:47:04 /build/assets/app-D6m_3w8G.js ................ ~ 0.03ms
  2026-08-13 09:47:19 /posts/create ................................ ~ 0.16ms
  2026-08-13 09:47:19 /build/assets/Create-BSquMsNo.js ............. ~ 0.08ms
  2026-08-13 09:47:19 /build/assets/switch-Bt4UTqer.js ............. ~ 0.27ms
  2026-08-13 09:47:19 /build/assets/PostTemplateController-w1N7zGJk.js  ~ 0.41ms
  2026-08-13 09:47:19 /build/assets/PageHeader-m6brLnwq.js ......... ~ 0.47ms
  2026-08-13 09:47:19 /build/assets/ContentStylePicker-t784TBpg.js . ~ 0.58ms
  2026-08-13 09:47:19 /build/assets/CollapsibleTrigger-DPwTAYUD.js . ~ 0.47ms
  2026-08-13 09:47:19 /notifications ............................... ~ 0.27ms
  2026-08-13 09:47:19 /presence/heartbeat .......................... ~ 0.66ms
  2026-08-13 09:47:19 /posts/create ................................ ~ 0.30ms
  2026-08-13 09:47:19 /build/assets/app-D6m_3w8G.js ................ ~ 0.28ms
  2026-08-13 09:47:19 /build/assets/app-D6m_3w8G.js ................ ~ 0.03ms
  2026-08-13 09:47:20 /posts ....................................... ~ 0.26ms
  2026-08-13 09:47:20 /posts/019ffa84-e10e-71ca-9502-62bd3091fc58/edit  ~ 500.67ms
  2026-08-13 09:47:20 /posts ....................................... ~ 0.04ms
  2026-08-13 09:47:20 /build/assets/app--WTW5DNB.css ............... ~ 0.05ms
  2026-08-13 09:47:20 /build/assets/app-D6m_3w8G.js ................ ~ 0.20ms
